Name;TroopLevel;Deprecated;TID;InfoTID;HousingSpace;BarrackLevel;LaboratoryLevel;Speed;Hitpoints;TrainingTime;TrainingResource;TrainingCost;UpgradeTimeH;UpgradeTimeM;UpgradeResource;UpgradeCost;DonateCost;DonateXP;DonateCount;AttackRange;AttackSpeed;CoolDownOverride;DPS;PreferedTargetDamageMod;DamageRadius;AreaDamageIgnoresWalls;SelfAsAoeCenter;IconSWF;IconExportName;BigPicture;BigPictureSWF;Projectile;AltProjectile;PreferedTargetBuilding;PreferedTargetBuildingClass;PreferredTargetNoTargeting;DeployEffect;AttackEffect;AttackEffect2;HitEffect;HitEffect2;IsFlying;AirTargets;GroundTargets;AttackCount;DieEffect;DieEffect2;Animation;ProductionBuilding;IsJumper;MovementOffsetAmount;MovementOffsetSpeed;TombStone;DieDamage;DieDamageRadius;DieDamageEffect;DieDamageDelay;DisableProduction;SecondaryTroop;IsSecondaryTroop;SecondaryTroopCnt;SecondarySpawnDist;RandomizeSecSpawnDist;PickNewTargetAfterPushback;PushbackSpeed;SummonTroop;SummonTroopCount;SummonCooldown;SummonEffect;SummonLimit;SpawnIdle;SpawnOnAttack;StrengthWeight;AuraSpell;AuraSpellLevel;SpeedDecreasePerChildTroopLost;ChildTroop0_X;ChildTroop0_Y;ChildTroop1_X;WallMovementCost;BurstCount;BurstDelay;AttackMultipleBuildings;IncreasingDamage;DPSLv2;DPSLv3;Lv2SwitchTime;Lv3SwitchTime;AttackEffectLv2;AttackEffectLv3;AttackEffectLv4;TransitionEffectLv2;TransitionEffectLv3;TransitionEffectLv4;TargetedEffectOffset;SecondarySpawnOffset;CustomDefenderIcon;SpecialMovementMod;InvisibilityRadius;HealthReductionPerSecond;AutoMergeDistance;AutoMergeGroupSize;IsUnderground;ProjectileBounces;FriendlyGroupWeight;EnemyGroupWeight;NewTargetAttackDelay;TriggersTraps;ChainShootingDistance;ChainAttackDistance;ChainAttackMaxTargets;ChainAttackDelay;ChainAttackDamageReductionPercent;ChainAttackEffect;PreAttackEffect;MoveStartsEffect;MoveTrailEffect;BecomesTargetableEffect;BoostedIfAlone;BoostRadius;BoostDmgPerfect;BoostAttackSpeed;HideEffect;VillageType;UnitsInCamp;SpecialAbilityLevel;SpecialAbilityName;SpecialAbilityInfo;SpecialAbilityType;SpecialAbilityAttribute;SpecialAbilityAttribute2;SpecialAbilityAttribute3;SpecialAbilitySpell;SpecialAbilityEffect;SpecialAbilityIcon;DisableDonate;ScaleByTH;EnabledByCalendar;EnabledBySuperLicence;LoseHpPerTick;LoseHpInterval;UpgradeLevelByTH;EvolveToCharacter;EvolveEffect;EvolveOnDamageDealt;EvolveTime;CanAttackWhileMoving;PreferredMovementTarget;RetargetAfterHit;Damage2;Damage2Radius;Damage2Delay;Damage2Min;Damage2FalloffStart;Damage2FalloffEnd;DamageMultiplierTarget;DamageMultiplierPercent;FrostOnHitTime;FrostOnHitPercent;DoesNotOpenCC;DefensiveTroop;DamageReductionToStorages;BunkerTroops;BunkerTroopCount1;BunkerTroopCount2;BunkerDegenerationTime;BunkerSpawnDist;HeroDamageMultiplier;PenetratingProjectile;PenetratingRadius;PenetratingExtraRange;ImmuneToHealing;PreferHeroes;LeashLength;DefaultSkin;HeroDeathAbilityLevel;HeroDeathAbilityType;HeroDeathAbilitySpell;CarriesMaster;PreferMasterTarget;SummonsInheritMaster;RecallWithMaster
String;int;boolean;String;String;int;int;int;int;int;int;String;int;int;int;String;int;int;int;int;int;int;int;int;int;int;boolean;boolean;String;String;String;String;String;String;String;String;boolean;String;String;String;String;String;boolean;boolean;boolean;int;String;String;String;String;boolean;int;int;String;int;int;String;int;boolean;String;boolean;int;int;boolean;boolean;int;String;int;int;String;int;int;boolean;int;String;int;int;int;int;int;int;int;int;boolean;boolean;int;int;int;int;String;String;String;String;String;String;int;int;String;int;int;int;int;int;boolean;int;int;int;int;boolean;int;int;int;int;int;String;String;String;String;String;boolean;int;int;int;String;int;int;int;String;String;String;int;int;int;String;String;String;boolean;boolean;boolean;boolean;int;int;int;String;String;int;int;boolean;String;boolean;int;int;int;int;int;int;String;int;int;int;boolean;String;int;String;int;int;int;int;int;boolean;int;int;boolean;boolean;int;String;int;String;String;boolean;boolean;boolean;boolean
Barky;1;;TID_PET_MELEEJUMPER;TID_PET_MELEEJUMPER_INFO;20;1;1;400;2700;999;DarkElixir;1;72;;DarkElixir;115000;20;;;60;900;;150;;;;;sc/ui.sc;icon_unit_pet_barksy;unit_pet_lassi_big;sc/info_pet_lassi.sc;;;;;;Barky Deploy;Barky Attack;;Miner Hit;;FALSE;FALSE;TRUE;;Barky Die;;PetLassiDefault;Pet House;TRUE;;0;;;;;;TRUE;;;;;;;;;;;;;100;;1960;;;;;;;;;;;;;;;;;;;;;;-50;;;;;;;;;;300;400;;TRUE;;;;;;;;;;;;;;;;;;;TID_PET_ABILITY_BARKY;TID_PET_ABILITY_INFO_BARKY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;PetLassiDefault;;;;;;;
;2;;TID_PET_MELEEJUMPER;;;1;1;;2800;;;2;96;;;130000;;;;;;;160;;;;;;;;;;;;;;;;;;;;;;;;;;Pet House;;;;;;;;;;;;;;;;;;;;;;;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;;TID_PET_MELEEJUMPER;;;1;1;;2900;;;3;120;;;145000;;;;;;;170;;;;;;;;;;;;;;;;;;;;;;;;;;Pet House;;;;;;;;;;;;;;;;;;;;;;;;2080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4;;TID_PET_MELEEJUMPER;;;1;1;;3000;;;4;132;;;160000;;;;;;;180;;;;;;;;;;;;;;;;;;;;;;;;;;Pet House;;;;;;;;;;;;;;;;;;;;;;;;2140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5;;TID_PET_MELEEJUMPER;;;1;1;;3100;;;5;144;;;175000;;;;;;;190;;;;;;;;;;;;;;;;;;;;;;;;;;Pet House;;;;;;;;;;;;;;;;;;;;;;;;2200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;6;;TID_PET_MELEEJUMPER;;;1;1;;3200;;;6;156;;;190000;;;;;;;200;;;;;;;;;;;;;;;;;;;;;;;;;;Pet House;;;;;;;;;;;;;;;;;;;;;;;;2260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;;TID_PET_MELEEJUMPER;;;1;1;;3300;;;7;168;;;205000;;;;;;;210;;;;;;;;;;;;;;;;;;;;;;;;;;Pet House;;;;;;;;;;;;;;;;;;;;;;;;2320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8;;TID_PET_MELEEJUMPER;;;1;1;;3400;;;8;180;;;220000;;;;;;;220;;;;;;;;;;;;;;;;;;;;;;;;;;Pet House;;;;;;;;;;;;;;;;;;;;;;;;2380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;9;;TID_PET_MELEEJUMPER;;;1;1;;3500;;;9;192;;;235000;;;;;;;230;;;;;;;;;;;;;;;;;;;;;;;;;;Pet House;;;;;;;;;;;;;;;;;;;;;;;;2440;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
